,,,,,0,1,2,3,4
1:0.1,3,70 - 100,power,3650,"(0.181, 0.009)","(0.377, 0.018)","(0.244, 0.009)","(0.206, 0.022)","(0.802, 0.006)"
1:1,2,0 - 100,power,3650,"(0.199, 0.096)","(0.178, 0.113)","(0.187, 0.107)","(0.117, 0.117)","(3.303, 0.602)"
1:1,2,20 - 70,power,3650,"(0.118, 0.043)","(0.137, 0.055)","(0.127, 0.048)","(0.086, 0.061)","(2.194, 0.39)"
1:1,2,20 - 60,power,3650,"(0.125, 0.098)","(0.183, 0.138)","(0.148, 0.114)","(0.132, 0.097)","(1.569, 0.231)"
1:1,2,60 - 70,power,3650,"(0.153, 0.108)","(0.283, 0.2)","(0.199, 0.141)","(0.135, 0.098)","(1.186, 0.047)"
1:1,2,0 - 20,power,3650,"(0.273, 0.071)","(0.498, 0.113)","(0.352, 0.088)","(0.255, 0.079)","(0.851, 0.021)"
1:1,2,70 - 100,power,3650,"(0.175, 0.14)","(0.294, 0.226)","(0.219, 0.173)","(0.101, 0.089)","(0.771, 0.025)"
1:1,3,0 - 100,power,3650,"(0.222, 0.157)","(0.178, 0.126)","(0.198, 0.14)","(0.154, 0.109)","(3.337, 0.261)"
1:1,3,20 - 70,power,3650,"(0.232, 0.148)","(0.242, 0.131)","(0.236, 0.14)","(0.149, 0.064)","(3.015, 0.884)"
1:1,3,20 - 60,power,3650,"(0.114, 0.082)","(0.107, 0.079)","(0.11, 0.08)","(0.047, 0.033)","(1.644, 0.292)"
1:1,3,60 - 70,power,3650,"(0.184, 0.098)","(0.286, 0.153)","(0.224, 0.119)","(0.153, 0.067)","(1.201, 0.023)"
1:1,3,0 - 20,power,3650,"(0.233, 0.078)","(0.5, 0.191)","(0.318, 0.111)","(0.269, 0.115)","(0.843, 0.037)"
1:1,3,70 - 100,power,3650,"(0.192, 0.035)","(0.396, 0.059)","(0.258, 0.043)","(0.184, 0.043)","(0.795, 0.013)"
1:10,2,0 - 100,power,3650,"(0.151, 0.057)","(0.138, 0.053)","(0.144, 0.054)","(0.123, 0.038)","(2.848, 0.218)"
1:10,2,20 - 70,power,3650,"(0.084, 0.085)","(0.086, 0.077)","(0.085, 0.081)","(0.043, 0.031)","(2.188, 0.259)"
