,,,,,0,1,2,3,4
1:10,2,0 - 100,min-max,3650,"(0.048, 0.007)","(0.024, 0.002)","(0.032, 0.003)","(0.032, 0.003)","(4.709, 7.491)"
1:10,2,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.164, 0.022)"
1:10,2,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.396, 0.019)"
1:10,2,60 - 70,min-max,3650,"(0.037, 0.004)","(0.024, 0.002)","(0.029, 0.003)","(0.029, 0.003)","(1.139, 0.004)"
1:10,2,0 - 20,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.738, 0.0)"
1:10,2,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.708, 0.0)"
1:10,3,0 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.909, 0.007)"
1:10,3,20 - 70,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(2.635, 0.045)"
1:10,3,20 - 60,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(1.696, 0.034)"
1:10,3,60 - 70,min-max,3650,"(0.333, 0.333)","(0.024, 0.002)","(0.044, 0.006)","(0.044, 0.006)","(1.236, 0.007)"
1:10,3,0 - 20,min-max,3650,"(0.333, 0.333)","(0.024, 0.002)","(0.044, 0.006)","(0.044, 0.006)","(0.729, 0.0)"
1:10,3,70 - 100,min-max,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.716, 0.0)"
1:0,2,0 - 100,power,3650,"(0.185, 0.029)","(0.089, 0.006)","(0.119, 0.011)","(0.062, 0.003)","(24490.525, 324434544.879)"
1:0,2,20 - 70,power,3650,"(0.139, 0.001)","(0.094, 0.002)","(0.111, 0.002)","(0.082, 0.006)","(16331.263, 178331148.273)"
1:0,2,20 - 60,power,3650,"(0.103, 0.0)","(0.07, 0.0)","(0.082, 0.0)","(0.053, 0.002)","(76059.406, 7054530634.777)"
1:0,2,60 - 70,power,3650,"(0.072, 0.004)","(0.048, 0.002)","(0.057, 0.002)","(0.057, 0.002)","(466.009, 2079.741)"
1:0,2,0 - 20,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(22661580.004, 399341445268438.1)"
1:0,2,70 - 100,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(11888661.215, 45763075081503.97)"
1:0,3,0 - 100,power,3650,"(0.361, 0.1)","(0.226, 0.044)","(0.277, 0.062)","(0.193, 0.028)","(37807.138, 13839747.459)"
1:0,3,20 - 70,power,3650,"(0.265, 0.009)","(0.232, 0.008)","(0.247, 0.009)","(0.143, 0.004)","(2044.445, 666601.006)"
1:0,3,20 - 60,power,3650,"(0.19, 0.002)","(0.167, 0.002)","(0.175, 0.001)","(0.175, 0.001)","(132752.821, 25351352976.939)"
1:0,3,60 - 70,power,3650,"(0.098, 0.013)","(0.071, 0.005)","(0.082, 0.008)","(0.082, 0.008)","(737.065, 18091.872)"
1:0,3,0 - 20,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(55755661.019, 2582078542561657.5)"
1:0,3,70 - 100,power,3650,"(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(0.0, 0.0)","(15036075.373, 115910551723519.34)"
1:0.1,2,0 - 100,power,3650,"(0.26, 0.002)","(0.249, 0.005)","(0.253, 0.003)","(0.214, 0.004)","(6.927, 0.044)"
1:0.1,2,20 - 70,power,3650,"(0.214, 0.007)","(0.229, 0.002)","(0.22, 0.004)","(0.182, 0.01)","(5.846, 1.342)"
1:0.1,2,20 - 60,power,3650,"(0.177, 0.009)","(0.184, 0.012)","(0.178, 0.009)","(0.132, 0.015)","(3.224, 0.909)"
1:0.1,2,60 - 70,power,3650,"(0.12, 0.014)","(0.205, 0.04)","(0.151, 0.023)","(0.137, 0.017)","(1.569, 0.002)"
1:0.1,2,0 - 20,power,3650,"(0.217, 0.012)","(0.403, 0.039)","(0.281, 0.02)","(0.214, 0.02)","(0.803, 0.001)"
1:0.1,2,70 - 100,power,3650,"(0.174, 0.023)","(0.364, 0.1)","(0.235, 0.042)","(0.179, 0.025)","(0.791, 0.001)"
1:0.1,3,0 - 100,power,3650,"(0.245, 0.003)","(0.178, 0.006)","(0.2, 0.003)","(0.122, 0.012)","(7.802, 0.649)"
1:0.1,3,20 - 70,power,3650,"(0.264, 0.012)","(0.273, 0.015)","(0.267, 0.013)","(0.172, 0.008)","(5.651, 1.146)"
1:0.1,3,20 - 60,power,3650,"(0.158, 0.006)","(0.114, 0.006)","(0.132, 0.006)","(0.109, 0.001)","(3.451, 1.463)"
1:0.1,3,60 - 70,power,3650,"(0.121, 0.012)","(0.172, 0.022)","(0.142, 0.016)","(0.094, 0.008)","(1.471, 0.061)"
1:0.1,3,0 - 20,power,3650,"(0.24, 0.006)","(0.504, 0.011)","(0.324, 0.009)","(0.246, 0.002)","(0.818, 0.001)"
1:0.1,3,70 - 100,power,3650,"(0.181, 0.0)","(0.377, 0.0)","(0.244, 0.0)","(0.206, 0.001)","(0.802, 0.0)"
1:1,2,0 - 100,power,3650,"(0.199, 0.014)","(0.178, 0.019)","(0.187, 0.017)","(0.117, 0.02)","(3.303, 0.544)"
1:1,2,20 - 70,power,3650,"(0.118, 0.003)","(0.137, 0.004)","(0.127, 0.003)","(0.086, 0.006)","(2.194, 0.228)"
1:1,2,20 - 60,power,3650,"(0.125, 0.014)","(0.183, 0.029)","(0.148, 0.02)","(0.132, 0.014)","(1.569, 0.08)"
1:1,2,60 - 70,power,3650,"(0.153, 0.018)","(0.283, 0.06)","(0.199, 0.03)","(0.135, 0.014)","(1.186, 0.003)"
1:1,2,0 - 20,power,3650,"(0.273, 0.008)","(0.498, 0.019)","(0.352, 0.012)","(0.255, 0.009)","(0.851, 0.001)"
1:1,2,70 - 100,power,3650,"(0.175, 0.03)","(0.294, 0.077)","(0.219, 0.045)","(0.101, 0.012)","(0.771, 0.001)"
1:1,3,0 - 100,power,3650,"(0.222, 0.037)","(0.178, 0.024)","(0.198, 0.029)","(0.154, 0.018)","(3.337, 0.102)"
1:1,3,20 - 70,power,3650,"(0.232, 0.033)","(0.242, 0.026)","(0.236, 0.029)","(0.149, 0.006)","(3.015, 1.172)"
1:1,3,20 - 60,power,3650,"(0.114, 0.01)","(0.107, 0.009)","(0.11, 0.01)","(0.047, 0.002)","(1.644, 0.128)"
1:1,3,60 - 70,power,3650,"(0.184, 0.014)","(0.286, 0.035)","(0.224, 0.021)","(0.153, 0.007)","(1.201, 0.001)"
